Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Observed Attendance,Marital Status,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 34,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 35,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,No,Yes,No,Yes,No,Married,,,,,
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,Candidate 38,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,Candidate 41,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,No- I need to check,Yes,No,Married,,,,,
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,Candidate 43,Female,Chennai,Chennai,Chennai,Trichy,Yes,Yes,Yes,No,No- will take it soon,Yes,Yes,No,Married,,,,,
29.06.2015,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,Candidate 45,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 52,Male,Chennai,Chennai,Chennai,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 54,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 59,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 61,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 66,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 78,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 79,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 81,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 83,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 85,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Need To Check,No,Married,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 86,Male,Chennai,Chennai,Chennai,Chennai,Yet to confirm,Yes,Yes,Yes,No,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 87,Male,Chennai,Chennai,Chennai,Chennai,Yet to confirm,Yes,Yes,No I have only thi number,Yes,Yes,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 88,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,No I have only thi number,Yes,No,Yes,No,Single,,,,,
25.06.2015,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,Candidate 89,Male,Chennai,Chennai,Chennai,Chennai,Yet to confirm,Yes,Yes,Yes,Yes,No,Yes,No,Single,,,,,
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 93,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 94,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 96,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Married,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 97,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 101,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 104,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 109,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 113,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 118,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25-05-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 121,Male,Chennai,Chennai,Chennai,Chennai,No,No,No,No,No,Yes,Yes,No,Single,,,,,
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 122,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 125,Male,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,No,No,Not Sure,No,Single,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 127,Female,Chennai,Chennai,Chennai,Chennai,No,Yes,Yes,Yes,No,No,Not Sure,No,Single,,,,,
25.5.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 128,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25-5-2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walkin,Candidate 131,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
25.5.2016,ANZ,BFSI,Bangalore,Niche,Banking Operations,Scheduled ,Candidate 142,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 159,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 165,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 169,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 175,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 178,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 179,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 199,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 202,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 204,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 206,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 207,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 208,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 211,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 212,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 213,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 214,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 217,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 225,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 226,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 227,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 231,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 233,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 234,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
4/12/2016,Standard Chartered Bank,BFSI,Bangalore,Routine,Fresher,Walkin,Candidate 239,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 244,Female,Bangalore,Bangalore,Bangalore,Bangalore,No,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 245,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 248,Female,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 255,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 256,Male,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 257,Male,Bangalore,Bangalore,Bangalore,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 259,Female,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 262,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 266,Female,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 267,Male,Bangalore,Bangalore,Bangalore,Chennai,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 268,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 270,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 272,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,No,Yes,Not yet,Yes,Yes,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 277,Female,Bangalore,Bangalore,Bangalore,Cochin,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 279,Female,Bangalore,Bangalore,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 283,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 284,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 286,Male,Bangalore,Bangalore,Bangalore,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 288,Male,Bangalore,Bangalore,Bangalore,Visakapatinam,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 289,Male,Bangalore,Bangalore,Bangalore,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 293,Male,Bangalore,Bangalore,Bangalore,Cochin,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 297,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 303,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 307,Male,Bangalore,Bangalore,Bangalore,Patna,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 308,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,no,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 312,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 314,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Not yet,No,Single,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 317,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 320,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 325,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 326,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 327,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 330,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,Single,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 333,Male,Chennai,Chennai,Chennai,Cochin,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 334,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 337,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 341,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 342,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 345,Male,Chennai,Chennai,Chennai,Bangalore,No,NA,NA,NA,NA,NA,NA,NO,Single,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 346,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,Single,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 349,Female,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,Married,,,,,
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 351,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Label,Scheduled Walkin,Candidate 353,Male,Hyderabad,Chennai,Hyderabad,Visakapatinam,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Married,,,,,
